t,x_ref,y_ref,vx_ref,vy_ref,v_xy_ref,x_odom,y_odom,vx_odom,vy_odom,v_xy_odom
9.609961032867432,-10.85356652536935,-7.096517466572376e-13,0.7252991470679251,4.2396806233133645e-12,0.7252991470679251,-10.855725380314322,-0.0021837012649008657,0.7261666669975751,0.0008251673160496033,0.7261671358299456
9.619964599609375,-10.84631081550933,-6.522397132784351e-13,0.7253513823187843,7.11790590606382e-12,0.7253513823187843,-10.848464589485893,-0.0021747493583722604,0.7261133724085156,0.000964289744504493,0.7261140127040512
9.62996244430542,-10.839058381732574,-5.69713697433833e-13,0.7254177265215425,9.269699428371922e-12,0.7254177265215425,-10.841202541404005,-0.002164435666025177,0.7260591324013485,0.0010970530185811318,0.7260599612075606
9.64003300666809,-10.831752679916903,-4.685218746572625e-13,0.7254988381651102,1.070448158444163e-11,0.7254988381651102,-10.833894271112861,-0.0021527454725455545,0.7260062026690203,0.001224368720432925,0.7260072350828566
9.649998188018799,-10.824522454184672,-3.5778324358517626e-13,0.7255932166257737,1.1400515643231696e-11,0.7255932166257737,-10.826659769667286,-0.0021399423172816664,0.7259582866829308,0.0013443492309658154,0.7259595314330346
9.659985780715942,-10.817275042824418,-2.4344214941455863e-13,0.7257018936815398,1.1375737621703011e-11,0.7257018936815398,-10.819406628849821,-0.0021259342053162192,0.7259177579308042,0.0014587351209364471,0.7259192235968398
9.669982433319092,-10.810019834324828,-1.3286265513746843e-13,0.7258247929258985,1.0626766965207951e-11,0.7258247929258985,-10.812151885209191,-0.002110807876168545,0.7258878284209626,0.0015673823171539782,0.7258895206138665
9.679984092712402,-10.802759748353475,-3.334656577711286e-14,0.7259618923100685,9.152389587422913e-12,0.7259618923100685,-10.804889491606755,-0.002094605628140816,0.7258715135160851,0.001670514962440408,0.7258734357685036
9.690025329589844,-10.795469484208931,4.844503999641779e-14,0.7261020427134072,7.121891345925217e-12,0.7261020427134072,-10.79760050687475,-0.002077333646063656,0.7258717166125176,0.0017685043505174423,0.7258738709897476
9.700015306472778,-10.788215204857401,1.099824412945961e-13,0.726199799091384,5.23023541883276e-12,0.726199799091384,-10.790349890326837,-0.0020592041504983952,0.7258908755982099,0.0018606384610978207,0.7258932602333615
